mail.nhu.edu.tw               	203.72.0.5
uni.nhu.edu.tw                	203.72.5.98
esc.nhu.edu.tw                	203.72.0.10
tourism.nhu.edu.tw            	203.72.0.21
cs.nhu.edu.tw                 	203.72.0.21
online.nhu.edu.tw             	210.240.203.112
scc.nhu.edu.tw                	210.240.211.40
fly.nhu.edu.tw                	172.217.24.19
po.nhu.edu.tw                 	203.72.2.33
art.nhu.edu.tw                	203.72.0.21
en.nhu.edu.tw                 	203.72.2.177
it.nhu.edu.tw                 	203.72.2.175
library.nhu.edu.tw            	203.72.2.155
st.nhu.edu.tw                 	203.72.0.19
culture.nhu.edu.tw            	203.72.0.59
crc.nhu.edu.tw                	203.72.1.108
smtp1.nhu.edu.tw              	203.72.0.7
otc.nhu.edu.tw                	203.72.2.78
design.nhu.edu.tw             	203.72.0.21
cacti.nhu.edu.tw              	203.72.0.20
enroll.nhu.edu.tw             	203.72.2.61
asia.nhu.edu.tw               	203.72.0.21
sec.nhu.edu.tw                	203.72.0.138
ib.nhu.edu.tw                 	203.72.2.177
cec.nhu.edu.tw                	203.72.2.174
cst.nhu.edu.tw                	203.72.0.21
info.nhu.edu.tw               	172.217.24.19
sc.nhu.edu.tw                 	203.72.2.177
ac.nhu.edu.tw                 	203.72.0.21
wifi.nhu.edu.tw               	210.240.202.61
sa.nhu.edu.tw                 	203.72.2.170
www7.nhu.edu.tw               	203.72.2.167
europe.nhu.edu.tw             	203.72.0.21
tv.nhu.edu.tw                 	210.240.203.114
cc.nhu.edu.tw                 	203.72.0.21
computer.nhu.edu.tw           	203.72.0.21
free.nhu.edu.tw               	203.72.2.227
sport.nhu.edu.tw              	203.72.0.21
csr.nhu.edu.tw                	203.72.0.4
